Overdrive Name,Overdrive Link,Country,Region,Collection Size,Ebooks,Audiobooks,Magazines
NEFLIN,https://neflin.overdrive.com,United States,Florida,52434,48946,3488,0
Southwest Valley Library Consortium,https://svlc.overdrive.com,United States,Arizona,51743,44283,2713,4746
Hancock County Public Library,https://hcplibrary.overdrive.com,United States,Indiana,51319,38062,13256,0
Chesterfield County Public Library,https://chesterfield.overdrive.com,United States,Virginia,51166,38782,12383,0
Lexington Public Library,https://lexpublib.overdrive.com,United States,Kentucky,51086,37181,13905,0
Kent County Council,https://kent.overdrive.com,United Kingdom,England,50938,40308,7425,3204
Charlotte Mecklenburg Library,https://plcmc.overdrive.com,United States,North Carolina,50914,37278,8878,4756
Chester County Library System,https://chester.overdrive.com,United States,Pennsylvania,50887,36962,13924,0
Loudoun County Public Library,https://lcpl.overdrive.com,United States,Virginia,50493,36156,9589,4746
Somerset County Library System,https://somerset.overdrive.com,United States,New Jersey,50195,42285,7907,0
Richmond Public Library,https://yourlibraryca.overdrive.com,Canada,British Columbia,50133,35209,10227,4697
Brevard County Library,https://brevard.overdrive.com,United States,Florida,50094,42832,7262,0
London Public Library,https://lpl.overdrive.com,Canada,Ontario,50049,27815,17478,4755
Bergen County Cooperative Library System,https://ebccls.overdrive.com,United States,New Jersey,49996,30654,14625,4717
Moreton Bay Libraries,https://moretonbay.overdrive.com,Australia,Queensland,49935,39398,5782,4755
Berkeley Public Library,https://berkeleypubliclibrary.overdrive.com,United States,California,49824,33458,11613,4752
Washoe County Library System,https://washoecounty.overdrive.com,United States,Nevada,49708,28004,17023,4681
Green Mountain Library Consortium,https://gmlc.overdrive.com,United States,Vermont,48880,40264,8616,0
Georgia Download Destination,https://gadd.overdrive.com,United States,Georgia,48860,26208,17891,4761
City of Parramatta Library,https://parralibrary.overdrive.com,Australia,New South Wales,48847,37341,7811,3695
North Dakota Digital Consortium,https://ndlibrary2go.overdrive.com,United States,North Dakota,48756,31948,16808,0
Arlington Public Library,https://arlingtontx.overdrive.com,United States,Texas,48754,28538,15508,4708
South Carolina Low Country Consortium,https://jasmine.overdrive.com,United States,South Carolina,48714,43169,5545,0
TRAC Consortium,https://trac.overdrive.com,Canada,Alberta,48642,35763,8155,4724
Barrington Area Library,https://balibrary.overdrive.com,United States,Illinois,48582,35383,8454,4744
NC Kids Digital Library,https://nckids.overdrive.com,United States,North Carolina,48519,38815,9704,0
Virginia Beach Public Library,https://vbpl.overdrive.com,United States,Virginia,48482,33219,10507,4748
Ramapo Catskill Library System,https://rcls.overdrive.com,United States,New York,48329,32149,11419,4761
Fraser Valley Regional Library,https://fvrl.overdrive.com,Canada,British Columbia,48158,30922,12944,4291
British Columbia Libraries,https://bcpl.overdrive.com,Canada,British Columbia,48116,30898,12523,4695
Spokane Public Library,https://spokanelibrary.overdrive.com,United States,Washington,46793,27658,14432,4701
MontanaLibrary2Go,https://montana.overdrive.com,United States,Montana,46765,25418,16624,4720
Black Gold Cooperative Library System,https://blackgold.overdrive.com,United States,California,46738,29221,12758,4758
Tempe Public Library,https://tempe.overdrive.com,United States,Arizona,46557,29812,11998,4746
Red Deer Public Library,https://rdpl.overdrive.com,Canada,Alberta,45997,37103,4169,4724
Digital Johnson County,https://icpl.overdrive.com,United States,Iowa,45945,26867,14330,4748
Southwest Virginia Public Libraries,https://swvapub.overdrive.com,United States,Virginia,45528,28155,12627,4746
Richmond Hill Public Library,https://rhpl.overdrive.com,Canada,Ontario,44827,40225,4601,0
Ocean County Library,https://ocl.overdrive.com,United States,New Jersey,44651,28148,11781,4719
New Castle District Library Center,https://lamb.overdrive.com,United States,Pennsylvania,44359,35939,3667,4753
Lower North Island,https://epukapuka.overdrive.com,New Zealand,North Island,44309,31460,8147,4702
ArkansasLibrary2Go,https://lib2go.overdrive.com,United States,Arkansas,44242,33848,10394,0
Bibliothèque et Archives nationales du Québec,https://banq.overdrive.com,Canada,Quebec,44176,30545,8901,4729
NOBLE: North of Boston Library Exchange,https://noble.overdrive.com,United States,Massachusetts,43930,28390,10787,4752
City of Santa Clarita Public Library,https://santaclarita.overdrive.com,United States,California,43530,33253,10276,0
Anderson County Library,https://andersonlibrary.overdrive.com,United States,South Carolina,43526,29533,9291,4695
Panhandle Library Access Network,https://panhandle.overdrive.com,United States,Florida,43524,25646,13131,4746
E-iNC Library,https://e-inc.overdrive.com,United States,North Carolina,43495,33001,5792,4701
Bayouland E-Library Co-Op,https://bayouland.overdrive.com,United States,Louisiana,43491,33715,9776,0
Durham County Library,https://durhamcounty.overdrive.com,United States,North Carolina,43275,30877,7714,4681
Strathcona County Library,https://sclibrary.overdrive.com,Canada,Alberta,43157,30085,8344,4725
Sheppard Memorial Library,https://sheppardnc.overdrive.com,United States,North Carolina,42856,35042,3135,4679
Maryland's Digital Library,https://maryland.overdrive.com,United States,Maryland,42730,26170,11809,4751
Cobb County Public Library System,https://cobbcounty.overdrive.com,United States,Georgia,42536,25341,12505,4682
Alaska Digital Library,https://adl.overdrive.com,United States,Alaska,42430,24555,13129,4746
Aurora Public Library District,https://aurorapubliclibrary.overdrive.com,United States,Illinois,42060,37807,4253,0
North Suburban Digital Consortium,https://nsdc.overdrive.com,United States,Illinois,41978,26189,11085,4704
Solano County Library,https://solano.overdrive.com,United States,California,41809,25215,11837,4755
Northern California Digital Library,https://ncdl.overdrive.com,United States,California,41711,25683,16028,0
Fukuyama City Library,https://fukuyama-library.overdrive.com,Japan,Hiroshima,41313,36528,128,4657
Frisco Public Library,https://frisco.overdrive.com,United States,Texas,41230,27917,8601,4712
Meridian Library District,https://meridian.overdrive.com,United States,Idaho,41212,26848,9631,4732
Greenville County Library System,https://greenvillesc.overdrive.com,United States,South Carolina,41190,30245,6253,4692
Skokie Public Library,https://skokielibrary.overdrive.com,United States,Illinois,40703,27438,8516,4748
Beverly Hills Public Library,https://bhpl.overdrive.com,United States,California,40660,34339,1632,4685
Tuscaloosa Public Library,https://tuscaloosa.overdrive.com,United States,Alabama,40531,24458,11314,4758
Farmington Public Library,https://infoway.overdrive.com,United States,New Mexico,40484,22464,13281,4737
Charleston County Public Library System,https://charlestoncounty.overdrive.com,United States,South Carolina,40452,24751,10935,4760
Big Country Library System,https://bigcountry.overdrive.com,United States,Texas,40450,39294,1156,0
Pinnacle Digital Consortium,https://pinnacle.overdrive.com,United States,Illinois,40302,26430,9744,4128
Hannan City Library,https://hannan-city-lib.overdrive.com,Japan,Osaka,40294,35483,140,4671
South Dakota Digital Consortium,https://southdakota.overdrive.com,United States,South Dakota,40206,29328,10878,0
El Paso Public Library,https://elpaso.overdrive.com,United States,Texas,40089,28580,6753,4756
Ajax Public Library,https://ajax.overdrive.com,Canada,Ontario,39712,29053,10658,0
Up North Michigan Consortium,https://upnorth.overdrive.com,United States,Michigan,39667,28608,6337,4722
Long Beach Public Library,https://lbpl.overdrive.com,United States,California,39646,24136,10793,4716
